District,Year,Enrollment
Randolph,2012,4254.0
Randolph,2013,4273.0
Randolph,2014,4225.0
Randolph,2015,4065.0
Randolph,2016,4051.0
Randolph,2017,4048.0
Randolph,2018,4033.0
Randolph,2019,3949.0
Randolph,2020,3872.0
Randolph,2021,3789.0
Randolph,2022,3623.0
Randolph,2023,3625.0
Randolph,2024,3532.0
Randolph,2025,3487.0
Randolph,2026,3353.0
Ritchie,2011,1578.0
Ritchie,2012,1544.0
Ritchie,2013,1549.0
Ritchie,2014,1516.0
Ritchie,2015,1500.0
Ritchie,2016,1488.0
Ritchie,2017,1444.0
Ritchie,2018,1457.0
Ritchie,2019,1357.0
Ritchie,2020,1339.0
Ritchie,2021,1294.0
Ritchie,2022,1247.0
Ritchie,2023,1242.0
Ritchie,2024,1157.0
Ritchie,2025,1130.0
Ritchie,2026,1111.0
Roane,2011,2505.0
Roane,2012,2485.0
Roane,2013,2455.0
Roane,2014,2443.0
Roane,2015,2378.0
Roane,2016,2334.0
Roane,2017,2304.0
Roane,2018,2226.0
Roane,2019,2090.0
Roane,2020,2010.0
Roane,2021,1901.0
Roane,2022,1800.0
Roane,2023,1796.0
Roane,2024,1688.0
Roane,2025,1630.0
Roane,2026,1545.0
Summers,2011,1551.0
Summers,2012,1564.0
Summers,2013,1569.0
Summers,2014,1596.0
Summers,2015,1635.0
Summers,2016,1573.0
Summers,2017,1559.0
Summers,2018,1518.0
Summers,2019,1486.0
Summers,2020,1448.0
Summers,2021,1387.0
Summers,2022,1341.0
Summers,2023,1306.0
Summers,2024,1210.0
Summers,2025,1133.0
Summers,2026,1053.0
Taylor,2011,2395.0
Taylor,2012,2390.0
Taylor,2013,2409.0
Taylor,2014,2423.0
Taylor,2015,2406.0
Taylor,2016,2450.0
Taylor,2017,2456.0
Taylor,2018,2432.0
Taylor,2019,2404.0
Taylor,2020,2381.0
Taylor,2021,2293.0
Taylor,2022,2262.0
Taylor,2023,2187.0
Taylor,2024,2161.0
Taylor,2025,2117.0
Taylor,2026,2013.0
Tucker,2011,1053.0
Tucker,2012,1073.0
Tucker,2013,1031.0
Tucker,2014,1029.0
Tucker,2015,1023.0
Tucker,2016,1022.0
Tucker,2017,978.0
Tucker,2018,1008.0
Tucker,2019,1009.0
Tucker,2020,974.0
Tucker,2021,928.0
Tucker,2022,956.0
Tucker,2023,960.0
Tucker,2024,942.0
Tucker,2025,918.0
Tucker,2026,906.0
Tyler,2011,1419.0
Tyler,2012,1407.0
Tyler,2013,1373.0
Tyler,2014,1348.0
Tyler,2015,1304.0
Tyler,2016,1303.0
Tyler,2017,1309.0
Tyler,2018,1291.0
Tyler,2019,1260.0
Tyler,2020,1233.0
