local_school_id,year,district_code,District,school_code,school_name,Enrollment,school_type,reported_type,inferred_type_from_grades,Pre-K,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
18211,2026,18,Doddridge,211,Doddridge County Elementary School,344.0,Elementary,Elementary,Elementary,0.0,0.0,91.0,86.0,91.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18212,2026,18,Doddridge,212,Doddridge County Early Learning Academy,165.0,Primary,Primary,Primary,79.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18301,2026,18,Doddridge,301,Doddridge County Middle School,332.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,72.0,94.0,85.0,81.0,0.0,0.0,0.0,0.0
18501,2026,18,Doddridge,501,Doddridge County High School,379.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,87.0,90.0,102.0
20101,2026,20,Fayette,101,Fayetteville PK-8,450.0,Middle,Middle,Middle,16.0,38.0,41.0,37.0,44.0,49.0,55.0,44.0,63.0,63.0,0.0,0.0,0.0,0.0
20102,2026,20,Fayette,102,Valley PK-8,545.0,Middle,Middle,Middle,52.0,55.0,58.0,52.0,52.0,55.0,53.0,58.0,52.0,58.0,0.0,0.0,0.0,0.0
20103,2026,20,Fayette,103,Meadow Bridge Regional School,382.0,Secondary,Secondary,Secondary,17.0,22.0,25.0,21.0,21.0,32.0,26.0,28.0,41.0,27.0,40.0,22.0,31.0,29.0
20201,2026,20,Fayette,201,Ansted Elementary,151.0,Elementary,Elementary,Elementary,22.0,21.0,21.0,15.0,18.0,20.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20206,2026,20,Fayette,206,Divide Elementary,156.0,Elementary,Elementary,Elementary,0.0,18.0,28.0,16.0,22.0,34.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20227,2026,20,Fayette,227,New River Primary,570.0,Primary,Primary,Primary,128.0,147.0,144.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20228,2026,20,Fayette,228,New River Intermediate,516.0,Elementary,Elementary,Elementary,0.0,0.0,0.0,0.0,166.0,182.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20302,2026,20,Fayette,302,Oak Hill Middle School,603.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,227.0,202.0,0.0,0.0,0.0,0.0
20504,2026,20,Fayette,504,Midland Trail High,603.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,73.0,72.0,86.0,101.0,102.0,94.0
20506,2026,20,Fayette,506,Oak Hill High,1048.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,280.0,258.0,232.0
22206,2026,22,Gilmer,206,Gilmer County Elementary School,311.0,Elementary,Elementary,Elementary,49.0,37.0,41.0,40.0,52.0,38.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22501,2026,22,Gilmer,501,Gilmer County High School,401.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,63.0,63.0,66.0,43.0,66.0
24101,2026,24,Grant,101,Union Educational Complex,174.0,Secondary,Secondary,Secondary,12.0,7.0,9.0,11.0,12.0,15.0,8.0,11.0,7.0,19.0,19.0,18.0,10.0,16.0
24202,2026,24,Grant,202,Maysville Elementary School,207.0,Elementary,Elementary,Middle,18.0,29.0,23.0,31.0,22.0,32.0,33.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
24203,2026,24,Grant,203,Petersburg Elementary School,603.0,Elementary,Elementary,Middle,55.0,83.0,90.0,78.0,75.0,77.0,76.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
24501,2026,24,Grant,501,Petersburg High School,586.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,91.0,89.0,104.0,102.0,94.0
26101,2026,26,Greenbrier,101,Crichton Elementary,66.0,Elementary,Elementary,Elementary,11.0,9.0,6.0,12.0,12.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26102,2026,26,Greenbrier,102,Rainelle Elementary,190.0,Elementary,Elementary,Elementary,19.0,27.0,25.0,31.0,28.0,37.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26103,2026,26,Greenbrier,103,Rupert Elementary,147.0,Elementary,Elementary,Elementary,16.0,20.0,25.0,23.0,24.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26104,2026,26,Greenbrier,104,Smoot Elementary,144.0,Elementary,Elementary,Elementary,16.0,19.0,19.0,20.0,24.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26201,2026,26,Greenbrier,201,Alderson Elementary,172.0,Elementary,Elementary,Elementary,21.0,32.0,26.0,26.0,16.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26204,2026,26,Greenbrier,204,Frankford Elementary,211.0,Elementary,Elementary,Elementary,22.0,27.0,29.0,36.0,29.0,33.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26205,2026,26,Greenbrier,205,Lewisburg Elementary,397.0,Elementary,Elementary,Elementary,41.0,53.0,60.0,61.0,57.0,74.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26207,2026,26,Greenbrier,207,Ronceverte Elementary,334.0,Elementary,Elementary,Elementary,34.0,38.0,45.0,43.0,62.0,57.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26208,2026,26,Greenbrier,208,White Sulphur Elementary,283.0,Elementary,Elementary,Elementary,28.0,27.0,37.0,56.0,49.0,45.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26406,2026,26,Greenbrier,406,Eastern Greenbrier Middle School,669.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,230.0,223.0,0.0,0.0,0.0,0.0
26407,2026,26,Greenbrier,407,Western Greenbrier Middle School,265.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,89.0,102.0,0.0,0.0,0.0,0.0
26501,2026,26,Greenbrier,501,Greenbrier East High School,943.0,Secondary,Secondary,Secondary,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,214.0,233.0,225.0
